matched_registration_number,match_method,tribunal_property_factor,tribunal_registration_number,case_references,case_urls,application_complaints,hearing_date,outcome,outcome_type,pfeo_resolved,section_1_written_statement,section_2_communication,section_3_financial,section_4_debt,section_5_insurance,section_6_repairs,section_7_complaints,property_factor_duties,pdf_files,pdf_urls,upper_tribunal_decisions,upper_tribunal_urls
PF000108,registration_number,Newton Property Management limited (Property Factor),PF000108,FTS/HPC/PF/20/2471,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202471,,2021-03-23T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) with Proposed Property Factor Enforcement Order (PFEO) PF.20.2471 (1)_Rd.pdf | PFEO - 12.04.21 - PF.20.2471_Redacted.pdf | Written Decision (Review)PF.20.2471_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Failure%20to%20Comply%29%20with%20Proposed%20Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20PF.20.2471%20%281%29_Rd.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20-%2012.04.21%20-%20PF.20.2471_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Review%29PF.20.2471_Redacted.pdf,,
PF000042,manual_mapping,Newton Property Management limited,,FTS/HPC/PF/20/2471,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202471-0,,2021-03-23T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,False,Certificate of Compliance 2471__R.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Certificate%20of%20Compliance%202471__R.pdf,,
PF000095,registration_number,FirstPort Property Services Scotland (Property Factor),PF000095,FTS/HPC/PF/20/2597,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202597,,2021-03-22T12:00:00Z,PFEO Issued,negative,pending,False,False,False,False,False,False,False,False,written decision ftc prop pfeo - 02.07.21 - PF.20.2597.pdf | Decision (NO PFEO) PF.20.2597_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/written%20decision%20ftc%20prop%20pfeo%20-%2002.07.21%20-%20PF.20.2597.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Decision%20%28NO%20PFEO%29%20PF.20.2597_Redacted.pdf,,
PF000196,registration_number,Ross and Liddell (Property Factor),PF000196,FTS/HPC/PF/21/0033,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210033,Communication and consultation (Section 2 of Code),2021-03-19T12:00:00Z,Decision Issued,negative,,False,True,False,False,False,False,False,False,0033 - Written Decision (1)_Redacted.pdf | WD (Compliance) PF.21.0033_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/0033%20-%20Written%20Decision%20%281%29_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/WD%20%28Compliance%29%20PF.21.0033_Redacted.pdf,,
PF000160,registration_number,Speirs Gumley Property Management,PF000160,FTS/HPC/PF/20/1889,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201889,,2021-03-18T12:00:00Z,Dismissed,positive,,False,False,False,False,False,False,False,False,Written Decision (Dismissal) - PF.20.1889_Redacted.pdf | Review Dec PF 20 1889_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Dismissal%29%20-%20PF.20.1889_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Review%20Dec%20PF%2020%201889_Redacted.pdf,,
PF000288,registration_number,Hacking and Paterson Management Services,PF000288,FTS/HPC/PF/21/0052,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf210052,Property Factor Duties,2021-03-18T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,True,Raymond Robson v HP decision_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Raymond%20Robson%20v%20HP%20decision_Redacted.pdf,,
PF000103,registration_number,James Gibb,PF000103,FTS/HPC/PF/20/0783,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf200783,,2021-03-10T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Written Decision (Complied) PF.20.0783_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Complied%29%20PF.20.0783_Redacted.pdf,,
PF000195,registration_number,Residential Management Group Limited (Property Factor),PF000195,FTS/HPC/PF/19/3399,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf193399,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2021-03-03T12:00:00Z,Failure to Comply,negative,unresolved,False,True,True,False,True,True,True,True,Written Decision (Failure to Comply)(Proposed PFEO) PF.19.3399.pdf | Proposed PFEO PF.19.3399.pdf | PFEO PF.19.3399_Redacted.pdf | PF.19.3399 Compliance Decision Property Factor.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Failure%20to%20Comply%29%28Proposed%20PFEO%29%20PF.19.3399.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20PFEO%20PF.19.3399.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20PF.19.3399_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PF.19.3399%20Compliance%20Decision%20Property%20Factor.pdf,,
PF000288,registration_number,Hacking and Paterson Management Services,PF000288,FTS/HPC/PF/20/2270,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202270,,2021-02-26T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,False,False,False,Written Decision (Complied) PF.20.2270_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Complied%29%20PF.20.2270_Redacted.pdf,,
PF000288,registration_number,Hacking and Paterson Management Services,PF000288,FTS/HPC/PF/20/0851,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf200851,,2021-02-17T12:00:00Z,PFEO Proposed,negative,pending,False,False,False,False,False,False,False,False,WD Decision (Proposed PFEO) PF.20.0851.pdf | Proposed PFEO Allison Street (1.3.21) PF.20.0851.pdf | PFEO PF.20.0851 (002)_Redacted.pdf | Revocation of PFEO - PF.20.0851_Redacted.pdf | Review Decision PF.20.0851_Redacted.pdf | PFEO PF.20.0851_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/WD%20Decision%20%28Proposed%20PFEO%29%20PF.20.0851.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20PFEO%20Allison%20Street%20%281.3.21%29%20PF.20.0851.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20PF.20.0851%20%28002%29_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Revocation%20of%20PFEO%20-%20PF.20.0851_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Review%20Decision%20PF.20.0851_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20PF.20.0851_Redacted.pdf,,
PF000288,registration_number,Hacking and Paterson Management Services (Property Factor),PF000288,FTS/HPC/PF/20/0851,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf200851-0,Carrying out repairs and maintenance(Section 6 of Code),2021-02-17T12:00:00Z,PFEO Issued,negative,pending,False,False,False,False,False,True,False,False,PFEO PF.20.0851_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20PF.20.0851_Redacted_0.pdf,,
PF000288,registration_number,Hacking and Paterson Management Services,PF000288,FTS/HPC/PF/20/0851,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf200851-1,Carrying out repairs and maintenance(Section 6 of Code),2021-02-17T12:00:00Z,Decision Issued,negative,,False,False,False,False,False,True,False,False,Compliance decision PF.20.0851docx_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Compliance%20decision%20PF.20.0851docx_Redacted.pdf,,
PF000103,registration_number,James Gibb,PF000103,"FTS/HPC/PF/20/2315, 2316, 2319, 2411",https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202315-2316-2319-2411,"Communication and consultation (Section 2 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2021-02-08T12:00:00Z,Decision Issued,negative,,False,True,False,False,False,False,True,True,Written Decision (Complied) PF.20. 2316 2319 2315 and 2411 (1).pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Complied%29%20PF.20.%202316%202319%202315%20and%202411%20%281%29.pdf,,
PF000546,fuzzy_name (100%),Newton Property Management limited (Property Factor),,FTS/HPC/PF/20/1535,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201535-0,,2021-02-04T12:00:00Z,PFEO Proposed,negative,pending,False,False,False,False,False,False,False,False,Cert of Compliance 1535 - 25.05.21 -  (1)_R.pdf | PFEO - 11.03.21 - 1535 - R.pdf | Proposed PFEO - 22.02.21 - PF.20.1535 (1)_R.pdf | written decision FTC - 22.02.21 - PF.20.1535 (1)_R.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Cert%20of%20Compliance%201535%20-%2025.05.21%20-%20%20%281%29_R.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20-%2011.03.21%20-%201535%20-%20R.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20PFEO%20-%2022.02.21%20-%20PF.20.1535%20%281%29_R_0.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/written%20decision%20FTC%20-%2022.02.21%20-%20PF.20.1535%20%281%29_R_0.pdf,,
PF000187,registration_number,J. B. & G Forsyth Property Management Services,PF000187,FTS/HPC/PF/20/1783,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201783,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Insurance (Section 5 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2021-02-02T12:00:00Z,Failure to Comply,negative,unresolved,True,True,True,False,True,False,True,True,Written Decision (Failure to Comply)(Proposed PFEO) - PF.20.1783.pdf | Property Factor Enforcement Order (PFEO) (Proposed) - PF.20.1783.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28Failure%20to%20Comply%29%28Proposed%20PFEO%29%20-%20PF.20.1783.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20-%20PF.20.1783.pdf,,
PF000187,registration_number,J. B. & G Forsyth Property Management Services (Property Factor),PF000187,FTS/HPC/PF/20/1783,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201783-0,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Insurance (Section 5 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2021-02-02T12:00:00Z,PFEO Issued,negative,pending,True,True,True,False,True,False,True,True,REVISED PFEO PF.20.1783.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/REVISED%20PFEO%20PF.20.1783.pdf,,
PF000187,registration_number,J. B. & G Forsyth Property Management Services (Property Factor),PF000187,FTS/HPC/PF/20/1783,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201783-1,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Insurance (Section 5 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2021-02-02T12:00:00Z,Decision Issued,negative,,True,True,True,False,True,False,True,True,Compliance Decision PF.21.1783_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Compliance%20Decision%20PF.21.1783_Redacted.pdf,,
PF000153,registration_number,Charles White LTD,PF000153,FTS/HPC/PF/20/1855,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf201855,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2021-02-01T12:00:00Z,Complied,positive,resolved,False,True,False,False,False,True,False,True,Written Decision (FTC) PF.20.1855.pdf | Proposed Property Factor Enforcement Order PF.20.1855.pdf | Property Factor Enforcement Order PF.20.1855.pdf | Certificate of Compliance PF.20.1855.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28FTC%29%20PF.20.1855.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20Property%20Factor%20Enforcement%20Order%20PF.20.1855.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Property%20Factor%20Enforcement%20Order%20PF.20.1855.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Certificate%20of%20Compliance%20PF.20.1855.pdf,,
PF000103,registration_number,James Gibb Residential Factors,PF000103,FTS/HPC/PF/20/2001,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf202001,"Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2021-01-15T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,True,False,True,Written Decision (FTC) PF.20.2001.pdf | Proposed Property Factor Enforcement Order PF.20.2001.pdf | PFEO Redacted.pdf | Certificate of Compliance PF.20.2001.pdf,https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Written%20Decision%20%28FTC%29%20PF.20.2001.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Proposed%20Property%20Factor%20Enforcement%20Order%20PF.20.2001.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/PFEO%20Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/property_factor_decisions/Certificate%20of%20Compliance%20PF.20.2001.pdf,,
